uniprot	level
P27466	9.69E-07
P21538	1.1835E-07
P37370	5.20E-07
P15565	1.42E-07
Q05812	1.87E-07
P38688	1.19E-06
P38779	1.09E-06
P53914	1.85E-07
P08456	2.19E-07
P32502	4.43E-07
Q06336	4.31E-07
Q07651	3.04E-06
Q03430	7.39E-07
P53925	1.98E-07
P40319	1.70E-07
0	5.92E-06
P38197	7.60E-07
P39107	2.52E-06
Q01976	7.99E-07
P38732	4.46E-08
P47089	3.10E-07
P07255	4.33E-06
Q12514	8.75E-08
P32566	1.21E-06
P40043	9.33E-07
P00812	8.87E-07
Q04792	1.53E-07
P30657	0.000000269
P30771	1.45E-07
P32331	9.19E-07
Q04599	7.11E-07
P32501	1.22E-06
Q86ZR7	6.43E-07
Q04430	1.56E-07
P23833	3.36E-07
P29478	7.23E-08
Q03655	0.000000062
P47818	3.99E-07
Q02933	4.06E-07
Q02785	2.55E-07
P38323	1.34E-06
P06633	7.27E-07
P53311	4.16E-07
P32939	1.30E-06
P40086	1.78E-07
P40188	2.46E-06
Q12405	2.48E-06
P06245	1.25E-06
P06244	5.84E-07
P36101	5.85E-07
P33204	2.245E-07
P40970	9.83E-08
P40509	4.57E-07
P38439	5.05E-08
P36150	1.17E-07
P38777	#DIV/0!
Q99369	9.44E-07
Q00816	9.14E-08
P20051	1.15E-06
P40341	3.42E-08
P39925	1.31E-07
P46151	6.07E-07
P46669	4.36E-07
P53200	2.96E-06
P42842	2.35E-07
P53551	1.14E-06
P06785	1.40E-07
Q99288	4.06E-07
P38254	3.06E-07
Q06706	3.68E-08
P54730	1.18E-06
P20049	2.35E-07
0	2.76E-06
Q12746	1.88E-07
Q05778	3.14E-07
Q03798	3.92E-07
Q08438	3.22E-07
P09201	5.29E-07
P48527	8.80E-07
Q03713	3.41E-07
P53045	2.71E-07
P20436	4.365E-07
P53164	0.000000346
P12686	5.94E-07
P53145	1.60E-08
P43585	6.18E-08
Q02630	2.06E-07
P53261	7.65E-07
Q04767	3.12E-07
P32892	1.00E-06
P40561	7.24E-07
P27810	2.77E-07
P39744	5.30E-07
Q3E7X9	8.22E-06
Q12044	0.000000198
Q05788	9.43E-07
P12754	3.47E-07
Q12289	7.75E-07
P04161	2.36E-07
Q12176	1.99E-07
0	7.00E-07
P38166	1.84E-06
P32472	5.19E-07
P46989	3.17E-07
P32875	8.93E-08
P25555	8.88E-08
P32564	9.15E-07
Q3E756	7.16E-07
Q06385	4.31E-06
P53140	1.12E-07
P32611	6.91E-07
P53927	6.47E-07
Q05948	2.06E-07
P25574	7.88E-07
P38286	0.000000199
P13586	2.48E-07
P38333	2.12E-07
P15731	#DIV/0!
P15732	0.000000345
P47045	1.48E-07
P40160	3.56E-07
P47116	2.47E-08
P16622	1.17E-06
P53301	3.68E-07
Q06493	1.27E-06
P05745	2.05E-06
P40312	6.53E-06
P47008	1.26E-06
P36521	5.59E-06
P40553	5.90E-07
O13563	2.55E-07
P40452	4.40E-07
Q03705	0.000000288
Q06178	2.95E-08
P53204	#DIV/0!
P24521	1.48E-07
P20604	2.15E-07
P42941	6.94E-07
Q03088	8.65E-08
