uniprotID_S288c	Standard _A	Standard _B	Standard _C
P09457	8.46E-02	1.05E-01	1.09E-01
Q12250	5.54E-02	4.46E-02	5.80E-02
Q04062	9.89E-02	9.48E-02	1.04E-01
Q03161	6.49E-02	6.38E-02	4.99E-02
P53849	1.23E-02	1.22E-02	1.86E-02
Q06103	1.22E-01	1.12E-01	1.14E-01
P32263	9.49E-02	9.82E-02	1.05E-01
Q10740	9.28E-02	1.25E-01	1.04E-01
P31383	5.42E-02	3.79E-02	7.01E-02
Q08971	3.63E-02	4.26E-02	3.79E-02
Q02046	1.17E-01	1.25E-01	1.20E-01
P21524	1.35E-01	1.48E-01	1.18E-01
Q12154	8.62E-02	7.12E-02	7.67E-02
P22147	1.48E-01	1.27E-01	1.55E-01
P38081	1.41E-01	1.91E-01	1.64E-01
P29704	1.53E-01	1.32E-01	1.51E-01
P32602	8.69E-02	9.58E-02	7.77E-02
P40413	4.64E-02	4.75E-02	5.83E-02
P11353	8.82E-02	8.56E-02	7.13E-02
P38795	4.00E-02	2.73E-02	5.12E-02
P35691	2.14E-01	2.14E-01	2.12E-01
P39986	8.47E-02	5.99E-02	8.32E-02
P10614	9.72E-02	9.41E-02	8.99E-02
P38328	3.49E-02	3.38E-02	3.99E-02
P00729	7.06E-02	9.51E-02	8.97E-02
Q04013	7.42E-02	4.82E-02	8.27E-02
P50085	6.88E-02	8.81E-02	7.23E-02
P14843	1.14E-01	9.04E-02	1.02E-01
P32379	1.22E-01	9.93E-02	9.04E-02
P53852	6.84E-02	7.41E-02	9.02E-02
Q12189	9.16E-02	9.61E-02	9.92E-02
P38295	1.46E-01	1.60E-01	1.55E-01
P53172	6.22E-02	4.40E-02	5.23E-02
P38250	1.40E-01	1.41E-01	7.74E-02
P53235	3.86E-02	4.03E-02	5.67E-02
P05373	4.94E-02	5.40E-02	4.83E-02
P20081	1.67E-01	1.73E-01	1.82E-01
P43588	6.33E-02	9.15E-02	7.40E-02
Q99287	9.75E-02	9.21E-02	6.78E-02
P23639	1.21E-01	1.14E-01	1.13E-01
Q07505	4.10E-02	4.26E-02	4.63E-02
P53303	5.73E-02	4.06E-02	3.70E-02
Q12068	1.31E-02	1.38E-02	3.70E-02
Q05905	2.19E-01	2.83E-01	2.64E-01
P32573	1.07E-01	1.08E-01	1.23E-01
P07172	9.13E-02	9.68E-02	8.40E-02
P38694	2.80E-02	2.45E-02	4.20E-02
P07703	8.93E-02	8.55E-02	8.37E-02
P36114	7.64E-02	5.01E-02	6.69E-02
P32771	8.45E-02	8.45E-02	9.32E-02
Q06142	9.40E-02	8.14E-02	6.84E-02
P40093	6.87E-02	6.72E-02	7.67E-02
P48015	8.94E-02	9.21E-02	8.89E-02
P08067	7.52E-02	7.15E-02	6.99E-02
P38687	3.09E-02	2.26E-02	3.54E-02
P36017	1.68E-01	1.73E-01	1.64E-01
P36018	7.19E-03	9.07E-03	1.18E-02
P39926	3.23E-02	3.95E-02	7.19E-02
P32867	NaN	5.66E-03	8.31E-03
P38616	1.21E-01	1.40E-01	1.19E-01
P40364	4.04E-02	3.76E-02	4.44E-02
Q03862	3.78E-02	3.73E-02	6.13E-02
P32471	1.26E-01	1.03E-01	1.00E-01
P39966	3.24E-02	4.81E-02	3.93E-02
P34221	7.03E-03	1.80E-02	1.36E-02
P04037	4.10E-02	2.91E-02	2.93E-02
P25613	6.48E-02	6.73E-02	7.56E-02
P32907	1.67E-02	1.23E-02	1.87E-02
P25375	7.28E-02	9.09E-02	7.38E-02
P51996	1.08E-02	1.11E-02	9.96E-03
P38555	5.68E-03	5.38E-03	5.43E-03
Q12305	9.80E-02	7.20E-02	8.72E-02
P36049	5.17E-02	1.84E-02	5.37E-02
P38230	8.48E-02	5.96E-02	1.09E-01
Q04067	2.82E-02	2.46E-02	2.01E-02
P25451	2.76E-02	3.96E-02	4.54E-02
Q12265	5.78E-02	4.54E-02	5.27E-02
Q04178	5.39E-02	6.10E-02	5.54E-02
P47165	NaN	9.66E-03	7.72E-03
P15873	2.98E-02	4.68E-02	3.56E-02
P27692	3.25E-02	3.98E-02	1.26E-01
P32787	4.21E-02	4.06E-02	4.81E-02
P11745	6.73E-02	8.06E-02	8.71E-02
P38067	3.04E-02	3.64E-02	4.08E-02
P38061	1.39E-01	1.71E-01	2.79E-01
P32608	2.59E-02	2.52E-02	3.27E-02
P38314	6.23E-02	8.01E-02	8.01E-02
P41058	5.60E-02	3.13E-02	6.24E-02
P41057	9.66E-03	8.53E-03	1.43E-02
P33399	2.96E-02	2.95E-02	3.31E-02
P53199	2.39E-01	2.78E-01	2.64E-01
P24280	2.36E-02	2.73E-02	2.52E-02
P53184	4.90E-02	6.32E-02	5.17E-02
P38791	6.69E-03	1.24E-02	1.42E-02
P32898	7.95E-02	7.56E-02	7.64E-02
P38741	4.86E-02	3.86E-02	5.75E-02
P53731	3.48E-02	1.68E-02	4.91E-02
P40471	9.38E-02	9.98E-02	1.01E-01
Q08686	3.83E-02	3.59E-02	3.15E-02
O14467	6.64E-02	3.25E-02	4.89E-02
P00128	4.38E-02	5.08E-02	5.55E-02
P05744	4.18E-02	5.13E-02	5.54E-02
P41056	1.29E-02	1.21E-02	1.55E-02
Q99383	9.60E-02	8.59E-02	1.08E-01
P32381	5.38E-02	5.91E-02	4.63E-02
Q3E792	1.11E-01	1.16E-01	1.14E-01
P36041	4.72E-02	4.40E-02	5.58E-02
P36139	3.16E-02	4.41E-02	7.25E-02
P38886	6.31E-02	5.86E-02	6.25E-02
P05626	6.79E-02	9.80E-02	9.42E-02
P32332	3.44E-02	3.10E-02	3.00E-02
P23776	8.06E-02	1.05E-01	8.83E-02
P30656	7.40E-02	7.78E-02	7.40E-02
Q01852	2.90E-02	5.08E-02	3.82E-02
P53081	4.08E-02	4.46E-02	4.30E-02
P39714	1.21E-01	1.11E-01	1.07E-01
P05756	9.94E-02	7.95E-02	1.03E-01
Q08179	1.11E-01	1.01E-01	1.03E-01
Q12029	1.36E-02	2.32E-02	2.87E-02
P25039	8.88E-02	8.37E-02	8.88E-02
P21304	5.59E-02	2.85E-02	6.32E-02
P40029	7.61E-02	5.01E-02	9.34E-02
P36015	4.81E-02	4.56E-02	4.18E-02
Q12447	4.87E-02	4.52E-02	4.06E-02
P53250	5.34E-02	4.23E-02	5.00E-02
P32563	5.88E-02	4.62E-02	5.99E-02
P40363	3.06E-02	6.04E-02	3.66E-02
P00044	8.98E-02	8.95E-02	9.09E-02
Q12109	4.80E-02	5.33E-02	6.46E-02
Q06892	1.01E-01	8.97E-02	1.19E-01
P40893	8.94E-02	9.60E-02	8.63E-02
P38817	1.24E-01	1.29E-01	9.97E-02
P47137	2.82E-02	2.80E-02	3.78E-02
Q04439	5.56E-02	5.31E-02	5.02E-02
P36006	1.87E-02	1.40E-02	4.99E-02
P21965	3.06E-02	3.13E-02	3.19E-02
P12688	NaN	NaN	2.03E-02
P18961	6.77E-03	7.31E-03	1.20E-02
P40513	1.08E-01	1.42E-01	1.27E-01
P07260	4.63E-02	3.98E-02	2.79E-02
P53075	4.63E-02	3.50E-02	1.39E-01
P32485	2.31E-02	2.40E-02	1.73E-02
Q00772	1.33E-02	1.02E-02	2.05E-02
P53334	6.55E-02	5.34E-02	5.42E-02
P39517	4.13E-02	3.49E-02	3.66E-02
Q02892	1.81E-02	3.15E-02	5.57E-02
Q96VH4	7.77E-03	6.00E-03	3.04E-02
P38264	9.43E-02	8.65E-02	1.04E-01
Q04371	3.10E-02	1.64E-02	2.25E-02
P38821	4.30E-02	5.85E-02	5.58E-02
P47018	4.05E-02	1.76E-02	2.56E-02
P43123	4.08E-02	2.83E-02	3.94E-02
P53633	4.15E-02	3.38E-02	4.74E-02
P53723	3.81E-02	4.56E-02	5.09E-02
P53128	3.67E-02	3.17E-02	3.23E-02
P23638	4.22E-02	5.20E-02	4.88E-02
P12945	3.54E-02	2.31E-02	3.79E-02
P33201	3.54E-02	3.82E-02	3.54E-02
P32366	3.40E-02	3.66E-02	3.59E-02
P40961	3.55E-02	3.39E-02	3.99E-02
P15454	7.72E-02	8.83E-02	9.58E-02
P33775	1.86E-02	1.43E-02	1.46E-02
P00427	3.40E-02	2.57E-02	1.92E-02
Q08208	1.83E-02	1.05E-02	2.35E-02
Q12434	2.48E-02	2.57E-02	2.00E-02
P38353	2.28E-02	NaN	2.26E-02
Q05359	8.08E-02	6.58E-02	6.92E-02
P30822	4.85E-02	4.90E-02	5.98E-02
Q06625	1.70E-01	2.22E-01	1.57E-01
P20485	2.40E-02	1.91E-02	3.00E-02
P07274	5.47E-02	6.72E-02	1.13E-01
P21734	1.69E-02	1.28E-02	1.33E-02
P38152	3.11E-02	3.03E-02	4.02E-02
P38248	1.24E-01	1.29E-01	1.33E-01
P48837	2.07E-02	2.77E-02	3.10E-02
P40165	8.15E-02	9.05E-02	8.78E-02
P32843	4.04E-02	5.19E-02	6.27E-02
P41903	6.04E-02	6.48E-02	5.64E-02
P32795	6.14E-02	5.21E-02	6.00E-02
P38912	3.89E-02	4.36E-02	4.25E-02
Q01662	2.81E-02	2.42E-02	3.15E-02
P23291	1.56E-02	1.62E-02	2.04E-02
P29295	2.29E-02	6.08E-03	2.10E-02
P39962	2.97E-02	2.46E-02	2.75E-02
P53101	4.73E-02	3.38E-02	4.33E-02
P19454	1.21E-02	1.45E-02	1.62E-02
P32895	1.86E-01	2.15E-01	1.62E-01
P0C2H8	3.25E-02	3.17E-02	3.39E-02
P04456	1.34E-01	1.15E-01	1.11E-01
Q12117	1.75E-02	1.88E-02	2.25E-02
P38079	4.41E-02	3.63E-02	4.61E-02
Q00245	5.11E-02	3.34E-02	3.75E-02
Q04225	3.78E-02	3.92E-02	4.90E-02
P38626	2.10E-02	1.32E-02	2.74E-02
P14906	4.95E-02	3.09E-02	4.69E-02
Q03104	1.02E-01	7.69E-02	6.97E-02
P25342	1.50E-02	1.95E-02	1.61E-02
P22803	2.72E-02	2.77E-02	3.44E-02
P22217	1.08E-02	6.24E-02	1.19E-02
P32356	1.31E-01	1.35E-01	1.50E-01
P12962	2.20E-02	3.01E-02	3.75E-02
Q05515	6.09E-02	7.12E-02	6.69E-02
P02400	2.99E-02	2.73E-02	3.04E-02
P38836	1.57E-02	1.38E-02	1.68E-02
P35197	2.02E-02	1.86E-02	2.48E-02
Q08968	3.08E-02	2.32E-02	1.61E-02
P32803	2.64E-02	5.69E-02	4.27E-02
P50107	3.91E-02	4.65E-02	5.13E-02
Q08818	3.24E-02	3.39E-02	4.05E-02
Q12207	3.28E-01	2.62E-01	3.02E-01
P38996	7.14E-02	8.66E-02	8.05E-02
Q03532	1.05E-01	7.83E-02	1.03E-01
Q03028	3.87E-02	3.63E-02	3.35E-02
P38260	5.90E-02	6.19E-02	5.02E-02
P23724	5.70E-02	7.55E-02	7.04E-02
P38755	1.98E-02	2.37E-02	1.93E-02
Q02201	8.05E-03	8.62E-03	7.43E-03
P39968	1.12E-01	1.24E-01	1.90E-01
Q06489	1.25E-02	1.63E-02	2.36E-02
P14922	9.53E-02	8.40E-02	7.99E-02
P32335	2.33E-02	2.34E-02	2.85E-02
P05749	2.01E-02	2.89E-02	3.26E-02
P56628	2.16E-02	2.43E-02	2.57E-02
P53295	2.28E-02	2.76E-02	4.31E-02
P15274	6.10E-02	4.23E-02	6.70E-02
P47096	4.67E-02	3.50E-02	5.12E-02
P32458	7.10E-02	5.96E-02	8.62E-02
P27472	9.93E-03	9.05E-03	2.93E-02
P23337	1.86E-02	1.76E-02	1.92E-02
P40506	1.96E-02	2.61E-02	2.52E-02
P38810	7.81E-03	9.01E-03	2.07E-02
Q04697	4.77E-02	4.40E-02	6.83E-02
P39729	4.36E-02	4.40E-02	4.68E-02
P47085	3.96E-02	4.12E-02	4.69E-02
P42940	3.85E-02	4.06E-02	4.95E-02
P22943	1.74E-02	2.58E-02	4.17E-02
P22133	9.37E-02	9.49E-02	7.86E-02
P42938	5.10E-03	1.58E-02	1.23E-02
P49334	3.79E-02	4.20E-02	3.96E-02
P43621	5.24E-02	6.05E-02	5.49E-02
P22141	8.11E-02	9.28E-02	8.71E-02
P49954	2.81E-02	3.35E-02	2.94E-02
P32588	1.28E-01	1.39E-01	1.53E-01
P53615	3.55E-02	3.26E-02	3.80E-02
Q02776	4.15E-02	2.66E-02	4.47E-02
P26754	8.71E-03	8.35E-03	1.07E-02
Q03835	5.62E-02	3.56E-02	7.97E-02
P32642	NaN	2.86E-03	NaN
Q07451	2.59E-02	2.36E-02	2.61E-02
Q07623	1.39E-02	2.31E-02	2.01E-02
Q04410	5.06E-02	2.43E-02	3.88E-02
Q99258	4.99E-02	3.02E-02	4.72E-02
P07280	5.14E-02	1.89E-02	2.44E-02
Q01163	1.22E-02	1.02E-02	1.34E-02
P38922	3.19E-02	4.43E-02	4.03E-02
P32469	1.57E-02	2.01E-02	1.86E-02
P38858	6.25E-02	5.58E-02	6.75E-02
Q12165	1.89E-02	2.86E-02	3.52E-02
P53011	2.35E-02	1.72E-02	3.60E-02
P38861	6.38E-02	6.74E-02	7.39E-02
Q05979	6.38E-02	6.69E-02	6.38E-02
P48362	4.94E-02	4.33E-02	7.15E-02
P53981	4.23E-02	5.74E-02	6.27E-02
P18562	4.25E-02	4.77E-02	4.38E-02
P36534	3.65E-02	3.58E-02	3.09E-02
P39101	9.69E-02	8.84E-02	9.24E-02
P40581	3.15E-02	3.47E-02	3.99E-02
P39939	1.91E-01	2.08E-01	2.30E-01
P38840	8.19E-02	7.78E-02	1.11E-01
P40159	1.71E-02	2.16E-02	2.52E-02
P53879	5.12E-02	6.19E-02	4.31E-02
P21560	3.15E-02	3.16E-02	3.38E-02
Q12522	1.12E-01	1.01E-01	9.37E-02
P13517	3.59E-02	4.40E-02	3.46E-02
P38145	6.50E-02	7.39E-02	7.10E-02
P39990	5.21E-02	6.54E-02	6.64E-02
P47035	1.09E-01	1.36E-01	1.24E-01
Q12496	1.24E-01	1.04E-01	1.21E-01
Q06523	2.66E-02	1.30E-02	2.80E-02
P38221	3.46E-01	3.07E-01	2.80E-01
Q07657	7.33E-02	5.78E-02	6.70E-02
Q05785	4.53E-03	5.25E-03	8.47E-03
Q12518	3.30E-02	3.97E-02	3.73E-02
P28707	9.95E-02	8.28E-02	9.03E-02
P35189	3.76E-02	3.43E-02	2.13E-02
Q12443	4.88E-02	6.88E-02	5.46E-02
P32337	3.00E-01	2.86E-01	2.49E-01
P36136	7.38E-03	1.42E-02	2.23E-02
P38235	2.04E-02	2.23E-02	2.78E-02
P28007	4.21E-02	2.79E-02	3.20E-02
P32496	2.98E-02	9.29E-02	3.77E-02
P87262	2.97E-01	2.65E-01	2.99E-01
P40483	3.15E-02	3.38E-02	4.61E-02
P32495	1.80E-01	2.21E-01	2.28E-01
P36035	3.62E-02	4.72E-02	5.07E-02
P53095	6.46E-02	5.84E-02	6.07E-02
P28495	5.83E-02	6.02E-02	6.57E-02
P50101	3.92E-02	7.35E-02	6.13E-02
P33767	5.73E-02	5.14E-02	5.58E-02
P31382	2.81E-02	2.33E-02	2.73E-02
P32353	1.57E-01	1.27E-01	1.46E-01
P00424	2.52E-02	3.12E-02	3.09E-02
P32352	1.02E-01	6.90E-02	9.66E-02
Q03973	3.55E-02	3.25E-02	1.88E-02
P22696	3.26E-02	3.01E-02	3.03E-02
Q06287	8.84E-03	1.14E-02	1.58E-02
P20424	2.75E-03	NaN	5.39E-03
P53316	4.64E-02	4.46E-02	4.55E-02
Q04660	6.75E-03	1.05E-02	2.60E-02
Q07500	2.88E-02	2.65E-02	7.95E-02
Q04935	3.37E-02	3.54E-02	4.61E-02
P38628	5.42E-02	4.01E-02	5.06E-02
P39726	6.09E-02	5.81E-02	7.05E-02
P02309	1.28E-02	1.98E-02	1.66E-02
P45978	2.67E-02	2.28E-02	3.05E-02
P54000	NaN	NaN	5.59E-03
P38787	2.19E-02	2.24E-02	3.07E-02
Q12466	1.63E-02	6.96E-03	2.50E-02
P07285	4.13E-02	4.55E-02	5.25E-02
P38879	3.84E-02	4.49E-02	4.23E-02
Q12408	7.72E-02	7.91E-02	8.54E-02
P32897	4.65E-02	4.04E-02	4.49E-02
P36037	3.31E-02	4.30E-02	4.24E-02
Q08193	1.72E-01	1.68E-01	1.68E-01
P46969	4.39E-02	1.96E-02	8.57E-02
Q00362	1.17E-01	1.12E-01	1.08E-01
P32790	1.92E-01	2.06E-01	2.02E-01
P47160	1.03E-02	1.50E-02	2.07E-02
P48510	2.47E-02	2.44E-02	3.46E-02
Q05567	8.92E-02	8.33E-02	9.51E-02
Q04175	4.52E-02	2.95E-02	4.18E-02
P53721	1.04E-02	1.12E-02	1.13E-02
P11914	5.15E-02	5.55E-02	4.84E-02
Q08745	1.15E-01	9.36E-02	1.12E-01
P10662	8.41E-03	6.83E-03	7.27E-03
P38828	6.12E-03	8.93E-03	9.72E-03
P34160	2.81E-02	1.66E-02	3.17E-02
P32445	5.79E-02	5.46E-02	5.63E-02
P41920	7.44E-02	6.79E-02	6.24E-02
P40462	2.94E-02	7.83E-02	9.64E-02
Q08235	3.18E-02	4.06E-02	3.76E-02
P23615	1.25E-01	1.05E-01	1.11E-01
P39105	3.20E-02	NaN	3.24E-02
P53044	1.47E-01	1.29E-01	1.21E-01
P43590	1.72E-02	2.28E-02	2.57E-02
P81449	1.93E-02	1.61E-02	1.58E-02
P38765	2.29E-02	2.70E-02	2.69E-02
Q08225	2.71E-02	2.58E-02	2.85E-02
P25043	0.060126036	6.02E-02	5.23E-02
P53292	2.21E-02	3.26E-02	4.83E-02
P32264	1.09E-02	1.16E-02	1.18E-02
P47127	8.53E-03	7.55E-03	8.00E-03
Q05029	8.29E-02	5.98E-02	7.33E-02
P38325	1.20E-02	1.72E-02	1.77E-02
Q08926	4.31E-02	4.79E-02	4.83E-02
P12687	6.44E-02	6.83E-02	6.53E-02
P40477	2.51E-02	2.45E-02	3.75E-02
Q12233	5.43E-02	6.76E-02	6.22E-02
Q08220	9.27E-02	7.37E-02	9.94E-02
P49435	1.38E-01	1.34E-01	1.35E-01
P25343	3.84E-02	4.20E-02	3.84E-02
P49017	NaN	NaN	8.60E-03
Q99257	5.98E-03	NaN	2.37E-02
Q06338	6.40E-02	4.57E-02	7.02E-02
P00431	1.76E-02	1.10E-02	1.10E-02
P40185	4.68E-02	4.18E-02	4.61E-02
P21827	1.15E-02	1.24E-02	8.16E-03
P50945	NaN	NaN	8.84E-03
P54781	2.71E-02	1.62E-02	2.64E-02
P03962	8.60E-03	1.35E-02	1.61E-02
P40030	2.81E-02	2.83E-02	3.43E-02
P33421	3.80E-02	2.91E-02	3.86E-02
P19073	2.03E-02	2.45E-02	3.56E-02
P15496	3.94E-02	5.17E-02	4.34E-02
P14743	1.10E-02	3.33E-03	NaN
P40037	2.38E-01	2.25E-02	4.46E-02
P11491	NaN	4.61E-03	2.70E-03
P19881	2.93E-02	2.07E-02	1.61E-02
P20434	6.92E-03	6.72E-03	8.00E-03
P32505	1.03E-02	2.08E-02	1.80E-02
Q06405	3.59E-02	3.72E-02	4.15E-02
P40582	5.68E-02	3.48E-02	6.00E-02
P40098	4.99E-03	9.36E-03	9.42E-03
P47044	5.29E-02	1.39E-02	1.86E-02
P49687	5.90E-02	5.52E-02	5.29E-02
Q06685	4.42E-02	5.70E-02	6.01E-02
P40040	2.24E-02	NaN	1.63E-02
P53315	6.69E-02	8.25E-02	7.34E-02
P33755	3.53E-03	2.97E-03	9.80E-03
P05375	4.65E-03	1.31E-03	4.38E-03
Q12532	3.67E-03	3.64E-03	8.13E-03
P14747	1.93E-02	2.36E-02	1.63E-02
Q04432	1.25E-02	1.37E-02	1.51E-02
P10507	5.41E-02	4.59E-02	4.77E-02
P38169	6.24E-02	6.97E-02	6.08E-02
P40087	1.78E-02	1.36E-02	1.45E-02
P50109	5.05E-02	6.18E-02	5.80E-02
P38234	7.77E-03	9.58E-03	9.24E-03
P43558	2.96E-02	3.15E-02	3.17E-02
P32902	6.49E-03	1.38E-02	2.49E-02
P16451	NaN	NaN	NaN
P38809	1.64E-02	1.79E-02	4.39E-02
Q03640	1.27E-02	6.54E-03	2.26E-02
Q05584	4.23E-02	4.20E-02	3.98E-02
P40485	9.83E-02	1.09E-01	1.17E-01
P35719	NaN	1.60E-02	NaN
Q07825	6.27E-02	4.58E-02	5.98E-02
P40202	NaN	NaN	4.86E-03
Q01855	4.13E-02	2.10E-02	3.04E-02
P19524	2.42E-02	2.26E-02	3.90E-02
P47154	6.28E-02	4.57E-02	6.65E-02
P11938	5.52E-02	4.21E-02	5.07E-02
P34231	1.37E-01	9.64E-02	1.18E-01
P33317	1.05E-02	9.20E-03	1.19E-02
P11075	9.67E-02	9.03E-02	1.49E-01
P07273	5.44E-03	8.68E-03	9.02E-03
P06782	1.97E-02	1.43E-02	2.83E-02
P14164	9.65E-03	3.34E-02	2.22E-02
P61830	1.63E-01	1.08E-01	1.32E-01
P35723	8.66E-02	9.03E-02	9.15E-02
Q2V2P9	2.06E-02	2.58E-02	1.77E-02
P36147	4.96E-03	5.58E-03	1.28E-02
Q07589	1.58E-02	1.27E-02	1.36E-02
P37298	2.11E-02	2.39E-02	2.25E-02
P36016	5.84E-02	5.63E-02	6.11E-02
P32915	5.26E-02	3.41E-02	4.31E-02
P23595	1.97E-02	1.99E-02	2.00E-02
P38986	4.88E-02	3.68E-02	4.47E-02
P89886	2.47E-02	3.20E-02	3.22E-02
Q12525	2.07E-02	1.76E-02	1.33E-02
P25037	9.74E-02	8.24E-02	8.54E-02
P37303	1.76E-02	1.66E-02	1.88E-02
P25045	2.30E-02	1.08E-02	2.34E-02
P09032	NaN	NaN	2.80E-03
P36519	3.48E-02	3.44E-02	3.54E-02
P25369	7.54E-03	1.08E-02	2.07E-02
P32342	4.99E-02	6.65E-02	6.58E-02
P43555	3.84E-02	3.76E-02	4.12E-02
Q12515	2.90E-02	3.16E-02	4.40E-02
P40580	2.88E-02	3.11E-02	2.74E-02
P17891	2.44E-02	1.94E-02	2.84E-02
Q12452	4.57E-02	3.47E-02	3.71E-02
P38716	4.22E-02	3.72E-02	3.78E-02
P06102	3.63E-02	3.76E-02	2.90E-02
P38929	7.75E-02	8.78E-02	7.28E-02
P80428	9.65E-02	1.10E-01	8.72E-02
P28273	1.20E-02	1.16E-02	1.98E-02
P47119	4.26E-02	1.94E-02	3.60E-02
P53221	3.74E-02	5.45E-02	2.72E-02
P25340	8.91E-02	7.23E-02	8.29E-02
P20435	1.90E-02	1.30E-02	2.04E-02
P38820	2.86E-02	3.00E-02	3.34E-02
P33333	1.53E-02	1.36E-02	1.40E-02
P23202	6.24E-02	4.75E-02	6.24E-02
Q06679	2.60E-01	2.68E-01	2.45E-01
Q07381	3.27E-03	4.53E-03	2.64E-02
O13547	1.31E-02	7.63E-03	8.66E-03
P28625	1.87E-02	1.98E-02	2.33E-02
P22213	2.33E-02	4.56E-02	2.82E-02
Q03629	NaN	2.54E-03	1.66E-02
P51402	1.45E-02	1.27E-02	2.62E-02
P36516	1.70E-01	1.81E-01	1.75E-01
P32916	3.58E-02	3.63E-02	5.02E-02
P21147	5.74E-03	4.50E-03	2.74E-03
P38217	4.43E-02	3.92E-02	3.73E-02
P28321	1.95E-02	1.91E-02	1.80E-02
P43609	1.96E-02	3.44E-02	3.61E-02
P53889	1.47E-02	1.10E-02	1.61E-02
Q01477	2.35E-02	1.49E-02	2.15E-02
P39721	3.28E-02	2.17E-02	2.82E-02
Q12298	8.75E-02	9.91E-02	9.91E-02
P53617	4.57E-03	5.33E-03	1.31E-02
Q08601	1.38E-02	1.32E-02	1.49E-02
P32904	1.22E-02	5.21E-03	9.96E-03
P53206	6.93E-02	6.29E-02	7.06E-02
Q06697	1.13E-02	1.05E-02	1.25E-02
P00546	1.28E-02	1.56E-02	9.26E-03
P17157	2.19E-03	NaN	NaN
Q12000	3.18E-02	1.96E-02	2.43E-02
P32477	2.25E-02	9.70E-03	2.03E-02
P41895	NaN	NaN	1.68E-02
P32643	2.40E-02	2.58E-02	2.26E-02
P47122	1.74E-02	1.59E-02	1.59E-02
Q12451	8.85E-03	1.90E-02	2.36E-02
Q12211	3.40E-02	4.11E-02	3.01E-02
P40032	3.35E-02	1.55E-02	3.69E-02
P54837	1.42E-02	1.11E-02	1.65E-02
Q12028	1.02E-02	1.22E-02	1.51E-02
Q12018	7.15E-03	8.76E-03	1.63E-02
P53220	5.52E-03	5.44E-03	6.18E-03
Q99297	2.74E-02	2.13E-02	2.82E-02
Q02875	1.21E-01	8.39E-02	1.15E-01
P42846	1.56E-02	2.30E-02	3.82E-02
Q96VH5	1.97E-02	2.27E-02	2.36E-02
P38758	4.25E-03	4.26E-03	2.32E-02
Q01080	3.37E-02	4.00E-02	6.48E-02
P28272	8.67E-03	9.54E-03	6.26E-02
P40563	7.55E-03	1.08E-02	2.41E-02
Q12024	4.29E-02	4.57E-02	4.89E-02
P54003	1.39E-02	9.27E-03	1.70E-02
P38174	9.79E-03	2.88E-02	2.44E-02
P50861	2.02E-02	2.51E-02	3.06E-02
P27466	4.93E-02	4.96E-02	4.72E-02
P21538	NaN	5.03E-03	1.67E-02
P37370	2.70E-02	5.12E-02	5.06E-02
P15565	6.73E-03	7.75E-03	1.29E-02
Q05812	9.26E-03	9.34E-03	2.66E-02
P38688	8.90E-02	6.91E-02	1.04E-01
P38779	4.64E-02	4.81E-02	4.51E-02
P53914	2.21E-02	1.68E-02	2.72E-02
P08456	8.59E-03	6.13E-03	5.51E-03
P32502	2.37E-02	6.30E-03	2.66E-02
Q06336	2.56E-02	2.80E-02	2.70E-02
Q07651	1.09E-01	9.25E-02	1.09E-01
Q03430	2.48E-02	2.72E-02	3.94E-02
P53925	1.19E-02	1.65E-02	1.55E-02
P40319	6.67E-03	NaN	6.75E-03
P38197	1.88E-02	2.24E-02	2.52E-02
P39107	1.18E-01	1.42E-01	8.78E-02
Q01976	2.20E-02	1.70E-02	2.36E-02
P38732	2.76E-03	NaN	3.25E-03
P47089	3.96E-03	7.15E-03	9.83E-03
P07255	2.42E-02	3.27E-02	3.37E-02
Q12514	5.76E-03	NaN	NaN
P32566	6.56E-02	7.02E-02	7.13E-02
P40043	1.59E-02	2.07E-02	1.65E-02
P00812	3.57E-02	2.32E-02	3.60E-02
Q04792	3.48E-03	4.03E-03	2.28E-02
P30657	NaN	5.92E-03	9.92E-03
P30771	1.66E-02	8.40E-03	2.25E-02
P32331	2.74E-02	2.52E-02	3.94E-02
Q04599	2.36E-02	1.75E-02	2.50E-02
P32501	9.58E-02	9.90E-02	1.03E-01
Q86ZR7	1.68E-02	1.62E-02	1.75E-02
Q04430	6.79E-03	3.55E-03	8.75E-03
P23833	4.15E-03	9.22E-03	2.00E-02
P29478	NaN	NaN	2.25E-03
Q03655	NaN	NaN	3.52E-03
P47818	1.34E-02	9.08E-03	1.86E-02
Q02933	1.48E-02	2.31E-02	2.32E-02
Q02785	4.00E-02	4.74E-02	4.35E-02
P38323	7.65E-02	7.36E-02	8.29E-02
P06633	7.72E-03	1.28E-02	3.15E-02
P53311	3.47E-03	NaN	1.00E-02
P32939	1.66E-02	3.71E-02	3.64E-02
P40086	9.40E-03	6.72E-03	1.30E-02
P40188	4.19E-02	5.75E-02	4.27E-02
Q12405	8.57E-02	1.08E-01	1.32E-01
P06245	5.22E-02	6.06E-02	5.31E-02
P06244	3.17E-02	2.35E-02	2.56E-02
P36101	2.95E-02	2.60E-02	3.27E-02
P33204	NaN	6.49E-03	2.45E-03
P40970	4.26E-03	NaN	8.14E-03
P40509	1.02E-02	1.54E-02	2.08E-02
P38439	1.49E-03	2.11E-03	4.58E-03
P36150	6.28E-03	5.77E-03	1.11E-02
P38777	NaN	NaN	NaN
Q99369	3.32E-02	2.55E-02	2.75E-02
Q00816	NaN	NaN	1.03E-02
